sure_s,kazanan_drone_id,kazanan_teklif_puani,enlem_deg,boylam_deg,mutlak_irtifa_m,bagil_irtifa_m,home_mesafesi_m,hedef_mesafesi_m
1.617,3,102.292,47.3979662,8.546168399999999,0.217,-0.012,0.027,2.241
1.637,3,102.292,47.3979662,8.546168399999999,0.216,-0.012,0.027,2.241
1.657,3,102.292,47.3979662,8.546168399999999,0.216,-0.012,0.027,2.241
1.677,3,102.292,47.3979662,8.546168399999999,0.216,-0.012,0.027,2.241
1.696,3,102.292,47.3979662,8.546168399999999,0.216,-0.012,0.027,2.241
1.717,3,102.292,47.3979662,8.546168399999999,0.216,-0.013,0.027,2.241
1.737,3,102.292,47.3979662,8.546168399999999,0.216,-0.013,0.027,2.241
1.757,3,102.292,47.3979662,8.546168399999999,0.216,-0.013,0.027,2.241
1.776,3,102.292,47.3979662,8.546168399999999,0.216,-0.013,0.027,2.241
1.796,3,102.292,47.3979662,8.546168399999999,0.215,-0.013,0.027,2.241
1.817,3,102.292,47.3979662,8.546168399999999,0.215,-0.013,0.027,2.241
1.836,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.857,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.877,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.897,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.917,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.937,3,102.292,47.3979662,8.546168399999999,0.214,0.0,0.027,2.241
1.956,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
1.977,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
1.997,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.017,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.036,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.056,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.076,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.097,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.117,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.137,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.157,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.177,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.196,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.217,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.24,3,102.292,47.3979662,8.546168399999999,0.214,0.0,0.027,2.241
2.256,3,102.292,47.3979662,8.546168399999999,0.214,0.0,0.027,2.241
2.276,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
2.296,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
2.317,3,102.292,47.3979661,8.546168399999999,0.215,0.0,0.019,2.246
2.336,3,102.292,47.3979661,8.546168399999999,0.215,0.0,0.019,2.246
2.356,3,102.292,47.3979661,8.546168399999999,0.215,0.0,0.019,2.246
2.377,3,102.292,47.3979661,8.546168399999999,0.215,0.0,0.019,2.246
2.397,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.418,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.436,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.457,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.477,3,102.292,47.3979661,8.546168399999999,0.216,0.001,0.019,2.246
2.497,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.517,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.537,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.557,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.577,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.596,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.617,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.636,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.656,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.677,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.696,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.717,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.737,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.756,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.776,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.796,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
2.817,3,102.292,47.3979661,8.546168399999999,0.216,0.001,0.019,2.246
2.836,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.856,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.877,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.896,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.921,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.941,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.961,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
2.981,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
3.001,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
3.021,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
3.041,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
3.061,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
3.081,3,102.292,47.3979661,8.546168399999999,0.216,0.0,0.019,2.246
3.101,3,102.292,47.3979661,8.546168399999999,0.216,0.001,0.019,2.246
3.121,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
3.141,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
3.16,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
3.181,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
3.201,3,102.292,47.3979661,8.546168399999999,0.217,0.001,0.019,2.246
3.221,3,102.292,47.3979661,8.546168399999999,0.217,0.002,0.019,2.246
3.241,3,102.292,47.3979661,8.546168399999999,0.218,0.002,0.019,2.246
3.261,3,102.292,47.3979661,8.546168399999999,0.218,0.002,0.019,2.246
3.281,3,102.292,47.3979661,8.546168399999999,0.218,0.002,0.019,2.246
3.301,3,102.292,47.3979661,8.546168399999999,0.218,0.002,0.019,2.246
3.321,3,102.292,47.3979661,8.5461683,0.218,0.003,0.013,2.24
3.341,3,102.292,47.3979661,8.5461683,0.219,0.003,0.013,2.24
3.361,3,102.292,47.3979661,8.5461683,0.219,0.003,0.013,2.24
3.38,3,102.292,47.3979661,8.5461683,0.219,0.003,0.013,2.24
3.401,3,102.292,47.3979661,8.5461683,0.219,0.003,0.013,2.24
3.421,3,102.292,47.3979661,8.5461683,0.219,0.003,0.013,2.24
3.441,3,102.292,47.3979661,8.5461683,0.219,0.004,0.013,2.24
3.461,3,102.292,47.3979661,8.5461683,0.22,0.004,0.013,2.24
3.481,3,102.292,47.3979661,8.5461683,0.22,0.004,0.013,2.24
3.501,3,102.292,47.3979661,8.5461683,0.22,0.004,0.013,2.24
3.521,3,102.292,47.3979661,8.5461683,0.22,0.004,0.013,2.24
3.54,3,102.292,47.3979661,8.5461683,0.22,0.005,0.013,2.24
3.563,3,102.292,47.3979661,8.5461683,0.221,0.005,0.013,2.24
3.58,3,102.292,47.3979661,8.5461683,0.221,0.005,0.013,2.24
